Protein Uniprot,Protein names,Length,Mass
Q9HCS2,Cytochrome P450 4F12 (EC 1.14.14.1) (CYPIVF12),524,60309
Q9HCS4,Transcription factor 7-like 1 (HMG box transcription factor 3) (TCF-3),588,62631
Q9HCS7,Pre-mRNA-splicing factor SYF1 (Protein HCNP) (XPA-binding protein 2),855,100010
Q9HCU0,Endosialin (Tumor endothelial marker 1) (CD antigen CD248),757,80859
Q9HCU4,Cadherin EGF LAG seven-pass G-type receptor 2 (Cadherin family member 10) (Epidermal growth factor-like protein 2) (EGF-like protein 2) (Flamingo homolog 3) (Multiple epidermal growth factor-like domains protein 3) (Multiple EGF-like domains protein 3),2923,317453
Q9HCU5,Prolactin regulatory element-binding protein (Mammalian guanine nucleotide exchange factor mSec12),417,45468
Q9HCU8,DNA polymerase delta subunit 4 (DNA polymerase delta subunit p12),107,12433
Q9HCU9,Breast cancer metastasis-suppressor 1,246,28461
Q9HCX3,Zinc finger protein 304 (KRAB-containing zinc finger protein),659,75047
Q9HCX4,Short transient receptor potential channel 7 (TrpC7) (Transient receptor protein 7) (TRP-7) (hTRP7),862,99562
Q9HCY8,Protein S100-A14 (S100 calcium-binding protein A14) (S114),104,11662
Q9HD15,Steroid receptor RNA activator 1 (Steroid receptor RNA activator protein) (SRAP),224,24400
Q9HD20,Endoplasmic reticulum transmembrane helix translocase (EC 7.4.2.-) (Endoplasmic reticulum P5A-ATPase),1204,132955
Q9HD23,"Magnesium transporter MRS2 homolog, mitochondrial (MRS2-like protein)",443,50318
Q9HD26,Golgi-associated PDZ and coiled-coil motif-containing protein (CFTR-associated ligand) (Fused in glioblastoma) (PDZ protein interacting specifically with TC10) (PIST),462,50520
Q9HD34,LYR motif-containing protein 4,91,10758
Q9HD36,Bcl-2-like protein 10 (Bcl2-L-10) (Anti-apoptotic protein Boo) (Anti-apoptotic protein NrH) (Apoptosis regulator Bcl-B),204,23204
Q9HD40,O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Liver-pancreas antigen) (LP) (SLA-p35) (SLA/LP autoantigen) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase) (SepSecS) (Soluble liver antigen) (SLA) (UGA suppressor tRNA-associated protein) (tRNA(Ser/Sec)-associated antigenic protein),501,55726
Q9HD42,Charged multivesicular body protein 1a (Chromatin-modifying protein 1a) (CHMP1a) (Vacuolar protein sorting-associated protein 46-1) (Vps46-1) (hVps46-1),196,21703
Q9HD43,Receptor-type tyrosine-protein phosphatase H (R-PTP-H) (EC 3.1.3.48) (Stomach cancer-associated protein tyrosine phosphatase 1) (SAP-1) (Transmembrane-type protein-tyrosine phosphatase type H),1115,122353
Q9HD47,Ran guanine nucleotide release factor (RanGNRF) (Ran-binding protein MOG1),186,20448
Q9HD67,Unconventional myosin-X (Unconventional myosin-10),2058,237347
Q9HD89,Resistin (Adipose tissue-specific secretory factor) (ADSF) (C/EBP-epsilon-regulated myeloid-specific secreted cysteine-rich protein) (Cysteine-rich secreted protein A12-alpha-like 2) (Cysteine-rich secreted protein FIZZ3),108,11419
Q9HD90,Neurogenic differentiation factor 4 (NeuroD4) (Class A basic helix-loop-helix protein 4) (bHLHa4) (Protein atonal homolog 3) (ATH-3) (Atoh3),331,37041
Q9HDB5,"Neurexin-3-beta (Neurexin III-beta) [Cleaved into: Neurexin-3-beta, soluble form; Neurexin-3-beta, C-terminal fragment (NRXN3-CTF)]",637,69305
Q9HDC5,Junctophilin-1 (JP-1) (Junctophilin type 1),661,71686
Q9HDC9,Adipocyte plasma membrane-associated protein (Protein BSCv),416,46480
Q9HDD0,Phospholipase A and acyltransferase 1 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4) (HRAS-like suppressor 1) (HRSL1) (Phospholipid-metabolizing enzyme A-C1),168,18750
Q9N2K0,HERV-H_2q24.3 provirus ancestral Env polyprotein (Env protein HERV-H/p62) (Env protein HERV-H19) (Env protein HERV-Hcl.3) (Envelope polyprotein) (HERV-H/env62) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],584,64318
Q9NNW5,WD repeat-containing protein 6,1121,121725
Q9NNW7,"Thioredoxin reductase 2, mitochondrial (EC 1.8.1.9) (Selenoprotein Z) (SelZ) (TR-beta) (Thioredoxin reductase TR3)",524,56507
Q9NNX6,CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1) (DC-SIGN) (DC-SIGN1) (CD antigen CD209),404,45775
Q9NP31,SH2 domain-containing protein 2A (SH2 domain-containing adapter protein) (T cell-specific adapter protein) (TSAd) (VEGF receptor-associated protein),389,42934
Q9NP50,SIN3-HDAC complex-associated factor (Protein FAM60A) (Tera protein homolog),221,24852
Q9NP55,BPI fold-containing family A member 1 (Lung-specific protein X) (Nasopharyngeal carcinoma-related protein) (Palate lung and nasal epithelium clone protein) (Secretory protein in upper respiratory tracts) (Short PLUNC1) (SPLUNC1) (Tracheal epithelium-enriched protein) (Von Ebner protein Hl),256,26713
Q9NP56,"cAMP-specific 3',5'-cyclic phosphodiesterase 7B (EC 3.1.4.53)",450,51835
Q9NP58,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter),842,93886
Q9NP59,Solute carrier family 40 member 1 (Ferroportin-1) (Iron-regulated transporter 1),571,62542
Q9NP60,X-linked interleukin-1 receptor accessory protein-like 2 (IL-1 receptor accessory protein-like 2) (IL-1-RAPL-2) (IL-1RAPL-2) (IL1RAPL-2) (EC 3.2.2.6) (IL1RAPL-2-related protein) (Interleukin-1 receptor 9) (IL-1R-9) (IL-1R9) (Three immunoglobulin domain-containing IL-1 receptor-related 1) (TIGIRR-1),686,78670
Q9NP61,ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3),516,56928
Q9NP62,Chorion-specific transcription factor GCMa (hGCMa) (GCM motif protein 1) (Glial cells missing homolog 1),436,49268
Q9NP64,Zinc finger CCHC domain-containing protein 17 (Nucleolar protein of 40 kDa) (pNO40) (Pnn-interacting nucleolar protein) (Putative S1 RNA-binding domain protein) (PS1D protein),241,27570
Q9NP66,High mobility group protein 20A (HMG box-containing protein 20A) (HMG domain-containing protein 1) (HMG domain-containing protein HMGX1),347,40144
Q9NP70,Ameloblastin,447,48283
Q9NP71,Carbohydrate-responsive element-binding protein (ChREBP) (Class D basic helix-loop-helix protein 14) (bHLHd14) (MLX interactor) (MLX-interacting protein-like) (WS basic-helix-loop-helix leucine zipper protein) (WS-bHLH) (Williams-Beuren syndrome chromosomal region 14 protein),852,93073
Q9NP72,Ras-related protein Rab-18,206,22977
Q9NP73,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (EC 2.4.1.141) (EC 3.4.19.12) (Asparagine-linked glycosylation 13 homolog) (Glycosyltransferase 28 domain-containing protein 1) (UDP-N-acetylglucosamine transferase subunit ALG13 homolog),1137,126056
Q9NP74,Palmdelphin (Paralemmin-like protein),551,62758
Q9NP77,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16),194,22574
Q9NP78,ABC-type oligopeptide transporter ABCB9 (EC 7.4.2.6) (ATP-binding cassette sub-family B member 9) (ATP-binding cassette transporter 9) (ABC transporter 9 protein) (hABCB9) (TAP-like protein) (TAPL),766,84475
Q9NP79,Vacuolar protein sorting-associated protein VTA1 homolog (Dopamine-responsive gene 1 protein) (DRG-1) (LYST-interacting protein 5) (LIP5) (SKD1-binding protein 1) (SBP1),307,33879
Q9NP80,Calcium-independent phospholipase A2-gamma (EC 3.1.1.-) (EC 3.1.1.5) (Intracellular membrane-associated calcium-independent phospholipase A2 gamma) (iPLA2-gamma) (PNPLA-gamma) (Patatin-like phospholipase domain-containing protein 8) (iPLA2-2),782,88477
Q9NP81,"Serine--tRNA ligase, mitochondrial (EC 6.1.1.11) (SerRSmt) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)",518,58283
Q9NP84,Tumor necrosis factor receptor superfamily member 12A (Fibroblast growth factor-inducible immediate-early response protein 14) (FGF-inducible 14) (Tweak-receptor) (TweakR) (CD antigen CD266),129,13911
Q9NP85,Podocin,383,42201
Q9NP86,Calcium-binding protein 5 (CaBP5),173,19826
Q9NP87,DNA-directed DNA/RNA polymerase mu (Pol Mu) (EC 2.7.7.7) (Terminal transferase),494,54816
Q9NP90,Ras-related protein Rab-9B (Rab-9-like protein) (Rab-9L),201,22719
Q9NP91,Sodium- and chloride-dependent transporter XTRP3 (Sodium/imino-acid transporter 1) (Solute carrier family 6 member 20) (Transporter rB21A homolog),592,65914
Q9NP94,Zinc transporter ZIP2 (6A1) (Eti-1) (Solute carrier family 39 member 2) (Zrt- and Irt-like protein 2) (ZIP-2) (hZIP2),309,32742
Q9NP95,Fibroblast growth factor 20 (FGF-20),211,23499
Q9NP97,"Dynein light chain roadblock-type 1 (Bithoraxoid-like protein) (BLP) (Dynein light chain 2A, cytoplasmic) (Dynein-associated protein Km23) (Roadblock domain-containing protein 1)",96,10922
Q9NP98,"Myozenin-1 (Calsarcin-2) (Filamin-, actinin- and telethonin-binding protein) (Protein FATZ)",299,31745
Q9NP99,Triggering receptor expressed on myeloid cells 1 (TREM-1) (Triggering receptor expressed on monocytes 1) (CD antigen CD354),234,26387
Q9NPA0,ER membrane protein complex subunit 7,242,26471
Q9NPA1,"Calcium-activated potassium channel subunit beta-3 (BK channel subunit beta-3) (BKbeta3) (Hbeta3) (Calcium-activated potassium channel, subfamily M subunit beta-3) (Charybdotoxin receptor subunit beta-3) (K(VCA)beta-3) (Maxi K channel subunit beta-3) (Slo-beta-3)",279,31604
Q9NPA2,Matrix metalloproteinase-25 (MMP-25) (EC 3.4.24.-) (Leukolysin) (Membrane-type matrix metalloproteinase 6) (MT-MMP 6) (MTMMP6) (Membrane-type-6 matrix metalloproteinase) (MT6-MMP) (MT6MMP),562,62554
Q9NPA8,Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog),101,11529
Q9NPB1,"5'(3')-deoxyribonucleotidase, mitochondrial (5',3'-nucleotidase, mitochondrial) (EC 3.1.3.-) (Deoxy-5'-nucleotidase 2) (dNT-2)",228,25862
Q9NPB3,Calcium-binding protein 2 (CaBP2),220,24482
Q9NPB6,Partitioning defective 6 homolog alpha (PAR-6) (PAR-6 alpha) (PAR-6A) (PAR6C) (Tax interaction protein 40) (TIP-40),346,37388
Q9NPB9,Atypical chemokine receptor 4 (C-C chemokine receptor type 11) (C-C CKR-11) (CC-CKR-11) (CCR-11) (CC chemokine receptor-like 1) (CCRL1) (CCX CKR),350,39914
Q9NPC1,Leukotriene B4 receptor 2 (LTB4-R 2) (LTB4-R2) (LTB4 receptor JULF2) (Leukotriene B4 receptor BLT2) (Seven transmembrane receptor BLTR2),358,37942
Q9NPC2,Potassium channel subfamily K member 9 (Acid-sensitive potassium channel protein TASK-3) (TWIK-related acid-sensitive K(+) channel 3) (Two pore potassium channel KT3.2) (Two pore K(+) channel KT3.2),374,42264
Q9NPC3,E3 ubiquitin-protein ligase CCNB1IP1 (EC 2.3.2.27) (Cyclin-B1-interacting protein 1) (Human enhancer of invasion 10) (RING-type E3 ubiquitin transferase CCNB1IP1),277,31544
Q9NPC4,"Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (CD77 synthase) (Globotriaosylceramide synthase) (Gb3 synthase) (P1/Pk synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)",353,40499
Q9NPC6,Myozenin-2 (Calsarcin-1) (FATZ-related protein 2),264,29898
Q9NPC7,Myoneurin (Zinc finger and BTB domain-containing protein 31),610,68682
Q9NPC8,Homeobox protein SIX2 (Sine oculis homeobox homolog 2),291,32286
Q9NPD3,Exosome complex component RRP41 (Exosome component 4) (Ribosomal RNA-processing protein 41) (p12A),245,26383
Q9NPD5,Solute carrier organic anion transporter family member 1B3 (Liver-specific organic anion transporter 2) (LST-2) (OATP1B3) (Organic anion transporter 8) (Organic anion-transporting polypeptide 8) (OATP-8) (Solute carrier family 21 member 8),702,77403
Q9NPD8,Ubiquitin-conjugating enzyme E2 T (EC 2.3.2.23) (Cell proliferation-inducing gene 50 protein) (E2 ubiquitin-conjugating enzyme T) (Ubiquitin carrier protein T) (Ubiquitin-protein ligase T),197,22521
Q9NPE2,Neugrin (Mesenchymal stem cell protein DSC92) (Neurite outgrowth-associated protein) (Spinal cord-derived protein FI58G),291,32408
Q9NPE3,H/ACA ribonucleoprotein complex subunit 3 (Nucleolar protein 10) (Nucleolar protein family A member 3) (snoRNP protein NOP10),64,7706
Q9NPE6,Sperm-associated antigen 4 protein (Outer dense fiber-associated protein SPAG4) (SUN domain-containing protein 4),437,48165
Q9NPF0,CD320 antigen (8D6 antigen) (FDC-signaling molecule 8D6) (FDC-SM-8D6) (Transcobalamin receptor) (TCblR) (CD antigen CD320),282,28991
Q9NPF2,Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1),352,41555
Q9NPF4,tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (O-sialoglycoprotein endopeptidase) (hOSGEP) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein OSGEP) (tRNA threonylcarbamoyladenosine biosynthesis protein OSGEP),335,36427
Q9NPF5,DNA methyltransferase 1-associated protein 1 (DNMAP1) (DNMT1-associated protein 1),467,52993
Q9NPF7,Interleukin-23 subunit alpha (IL-23 subunit alpha) (IL-23-A) (Interleukin-23 subunit p19) (IL-23p19),189,20730
Q9NPF8,Arf-GAP with dual PH domain-containing protein 2 (Centaurin-alpha-2) (Cnt-a2),381,44349
Q9NPG1,Frizzled-3 (Fz-3) (hFz3),666,76263
Q9NPG2,Neuroglobin,151,16933
Q9NPG3,Ubinuclein-1 (HIRA-binding protein) (Protein VT4) (Ubiquitously expressed nuclear protein),1134,121520
Q9NPG4,"Protocadherin-12 (Vascular cadherin-2) (Vascular endothelial cadherin-2) (VE-cad-2) (VE-cadherin-2) [Cleaved into: Protocadherin-12, secreted form]",1184,128995
Q9NPG8,Palmitoyltransferase ZDHHC4 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 4) (DHHC-4) (Zinc finger protein 374),344,39787
Q9NPH0,"Lysophosphatidic acid phosphatase type 6 (EC 3.1.3.2) (Acid phosphatase 6, lysophosphatidic) (Acid phosphatase-like protein 1) (PACPL1)",428,48886
Q9NPH2,Inositol-3-phosphate synthase 1 (IPS 1) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (MI-1-P synthase) (MIP synthase) (hIPS) (Myo-inositol 1-phosphate synthase A1) (hINO1),558,61068
Q9NPH3,Interleukin-1 receptor accessory protein (IL-1 receptor accessory protein) (IL-1RAcP) (EC 3.2.2.6) (Interleukin-1 receptor 3) (IL-1R-3) (IL-1R3),570,65418
Q9NPH5,NADPH oxidase 4 (EC 1.6.3.-) (Kidney oxidase-1) (KOX-1) (Kidney superoxide-producing NADPH oxidase) (Renal NAD(P)H-oxidase),578,66932
Q9NPH9,Interleukin-26 (IL-26) (Protein AK155),171,19843
Q9NPI0,Transmembrane protein 138,162,19262
Q9NPI1,Bromodomain-containing protein 7 (75 kDa bromodomain protein) (Protein CELTIX-1),651,74139
Q9NPI5,Nicotinamide riboside kinase 2 (NRK 2) (NmR-K 2) (EC 2.7.1.22) (Integrin beta-1-binding protein 3) (Muscle integrin-binding protein) (MIBP) (Nicotinic acid riboside kinase 2) (EC 2.7.1.173) (Ribosylnicotinamide kinase 2) (RNK 2) (Ribosylnicotinic acid kinase 2),230,26046
Q9NPI6,mRNA-decapping enzyme 1A (EC 3.6.1.62) (Smad4-interacting transcriptional co-activator) (Transcription factor SMIF),582,63278
Q9NPI8,Fanconi anemia group F protein (Protein FACF),374,42254
Q9NPI9,"Inward rectifier potassium channel 16 (Inward rectifier K(+) channel Kir5.1) (Potassium channel, inwardly rectifying subfamily J member 16)",418,47949
Q9NPJ1,Molecular chaperone MKKS (Bardet-Biedl syndrome 6 protein) (McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin),570,62342
Q9NPJ3,"Acyl-coenzyme A thioesterase 13 (Acyl-CoA thioesterase 13) (EC 3.1.2.-) (Hotdog-fold thioesterase superfamily member 2) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Thioesterase superfamily member 2) (THEM2) [Cleaved into: Acyl-coenzyme A thioesterase 13, N-terminally processed]",140,14960
Q9NPJ4,Proline-rich nuclear receptor coactivator 2,139,15591
Q9NPJ6,Mediator of RNA polymerase II transcription subunit 4 (Activator-recruited cofactor 36 kDa component) (ARC36) (Mediator complex subunit 4) (TRAP/SMCC/PC2 subunit p36 subunit) (Vitamin D3 receptor-interacting protein complex 36 kDa component) (DRIP36),270,29745
Q9NPJ8,NTF2-related export protein 2 (Protein p15-2),142,16228
Q9NPL8,"Complex I assembly factor TIMMDC1, mitochondrial (Protein M5-14) (Translocase of inner mitochondrial membrane domain-containing protein 1) (TIMM domain containing-protein 1)",285,32178
Q9NPP4,"NLR family CARD domain-containing protein 4 (CARD, LRR, and NACHT-containing protein) (CED-4-like protein Clan) (Caspase recruitment domain-containing protein 12) (Ice protease-activating factor) (Ipaf)",1024,116159
Q9NPQ8,Synembryn-A (Protein Ric-8A),531,59710
Q9NPR2,Semaphorin-4B (Semaphorin-C),837,92766
Q9NPR9,Protein GPR108 (Lung seven transmembrane receptor 2),543,60633
Q9NPY3,Complement component C1q receptor (C1q/MBL/SPA receptor) (C1qR) (C1qR(p)) (C1qRp) (CDw93) (Complement component 1 q subcomponent receptor 1) (Matrix-remodeling-associated protein 4) (CD antigen CD93),652,68560
Q9NPZ5,"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 2) (GlcAT-D) (UDP-glucuronosyltransferase S) (GlcAT-S) (Glucuronosyltransferase S)",323,36919
Q9NQ11,Polyamine-transporting ATPase 13A2 (EC 7.6.2.-),1180,128794
Q9NQ25,SLAM family member 7 (CD2 subset 1) (CD2-like receptor-activating cytotoxic cells) (CRACC) (Membrane protein FOAP-12) (Novel Ly9) (Protein 19A) (CD antigen CD319),335,37421
Q9NQ29,Putative RNA-binding protein Luc7-like 1 (Putative SR protein LUC7B1) (SR+89),371,43728
Q9NQ30,Endothelial cell-specific molecule 1 (ESM-1),184,20095
Q9NQ31,A-kinase-interacting protein 1 (Breast cancer-associated gene 3 protein) (PKA-interacting protein) (Proline-rich protein BCA3),210,23114
Q9NQ36,"Signal peptide, CUB and EGF-like domain-containing protein 2 (Protein CEGP1) (Scube/You)",999,109957
Q9NQ38,Serine protease inhibitor Kazal-type 5 (Lympho-epithelial Kazal-type-related inhibitor) (LEKTI) [Cleaved into: Hemofiltrate peptide HF6478; Hemofiltrate peptide HF7665],1064,120714
Q9NQ40,"Solute carrier family 52, riboflavin transporter, member 3 (Riboflavin transporter 2) (hRFT2)",469,50805
Q9NQ48,Leucine zipper transcription factor-like protein 1,299,34592
Q9NQ50,"39S ribosomal protein L40, mitochondrial (L40mt) (MRP-L40) (Mitochondrial large ribosomal subunit protein mL40) (Nuclear localization signal-containing protein deleted in velocardiofacial syndrome) (Up-regulated in metastasis)",206,24490
Q9NQ55,Suppressor of SWI4 1 homolog (Ssf-1) (Brix domain-containing protein 3) (Peter Pan homolog),473,53194
Q9NQ66,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 (EC 3.1.4.11) (PLC-154) (Phosphoinositide phospholipase C-beta-1) (Phospholipase C-I) (PLC-I) (Phospholipase C-beta-1) (PLC-beta-1)",1216,138567
Q9NQ69,LIM/homeobox protein Lhx9 (LIM homeobox protein 9),397,43976
Q9NQ75,Cas scaffolding protein family member 4 (HEF-like protein) (HEF1-EFS-p130Cas-like protein) (HEPL),786,87144
Q9NQ76,Matrix extracellular phosphoglycoprotein (Osteoblast/osteocyte factor 45) (OF45) (Osteoregulin),525,58419
Q9NQ79,Cartilage acidic protein 1 (68 kDa chondrocyte-expressed protein) (CEP-68) (ASPIC),661,71421
Q9NQ84,G-protein coupled receptor family C group 5 member C (Retinoic acid-induced gene 3 protein) (RAIG-3),441,48193
Q9NQ86,E3 ubiquitin-protein ligase TRIM36 (EC 2.3.2.27) (RING finger protein 98) (RING-type E3 ubiquitin transferase TRIM36) (Tripartite motif-containing protein 36) (Zinc-binding protein Rbcc728),728,83013
Q9NQ87,Hairy/enhancer-of-split related with YRPW motif-like protein (hHeyL) (Class B basic helix-loop-helix protein 33) (bHLHb33) (Hairy-related transcription factor 3) (HRT-3) (hHRT3),328,35087
Q9NQ88,"Fructose-2,6-bisphosphatase TIGAR (EC 3.1.3.46) (TP53-induced glycolysis and apoptosis regulator) (TP53-induced glycolysis regulatory phosphatase)",270,30063
Q9NQ90,Anoctamin-2 (Transmembrane protein 16B),1003,113969
Q9NQ92,Coordinator of PRMT5 and differentiation stimulator (Cooperator of PRMT5) (Protein TTP1),184,20066
Q9NQ94,APOBEC1 complementation factor (APOBEC1-stimulating protein),594,65202
Q9NQA5,Transient receptor potential cation channel subfamily V member 5 (TrpV5) (Calcium transport protein 2) (CaT2) (Epithelial calcium channel 1) (ECaC) (ECaC1) (Osm-9-like TRP channel 3) (OTRPC3),729,82551
Q9NQB0,Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (T-cell factor 4) (TCF-4) (hTCF-4),619,67919
Q9NQC1,E3 ubiquitin-protein ligase Jade-2 (EC 2.3.2.27) (Jade family PHD finger protein 2) (PHD finger protein 15),790,87466
Q9NQC3,Reticulon-4 (Foocen) (Neurite outgrowth inhibitor) (Nogo protein) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine-specific protein C homolog) (RTN-x) (Reticulon-5),1192,129931
Q9NQC7,Ubiquitin carboxyl-terminal hydrolase CYLD (EC 3.4.19.12) (Deubiquitinating enzyme CYLD) (Ubiquitin thioesterase CYLD) (Ubiquitin-specific-processing protease CYLD),956,107316
Q9NQC8,Intraflagellar transport protein 46 homolog,304,34286
Q9NQE9,Adenosine 5'-monophosphoramidase HINT3 (EC 3.9.1.-) (Histidine triad nucleotide-binding protein 3) (HINT-3),182,20361
Q9NQG1,Protein MANBAL,85,9467
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B (Cell cycle-related and expression-elevated protein in tumor),326,36900
Q9NQG6,Mitochondrial dynamics protein MID51 (Mitochondrial dynamics protein of 51 kDa) (Mitochondrial elongation factor 1) (Smith-Magenis syndrome chromosomal region candidate gene 7 protein-like) (SMCR7-like protein),463,51293
Q9NQG7,BLOC-3 complex member HPS4 (Hermansky-Pudlak syndrome 4 protein) (Light-ear protein homolog),708,76919
Q9NQH7,Xaa-Pro aminopeptidase 3 (X-Pro aminopeptidase 3) (EC 3.4.11.9) (Aminopeptidase P3) (APP3),507,57034
Q9NQI0,Probable ATP-dependent RNA helicase DDX4 (EC 3.6.4.13) (DEAD box protein 4) (Vasa homolog),724,79308
Q9NQL2,Ras-related GTP-binding protein D (Rag D) (RagD) (EC 3.6.5.-),400,45588
Q9NQL9,Doublesex- and mab-3-related transcription factor 3,472,51199
Q9NQM4,Dynein axonemal assembly factor 6 (PIH1 domain-containing protein 3) (Sarcoma antigen NY-SAR-97),214,24069
Q9NQP4,Prefoldin subunit 4 (Protein C-1),134,15314
Q9NQQ7,Solute carrier family 35 member C2 (Ovarian cancer-overexpressed gene 1 protein),365,40432
Q9NQR1,N-lysine methyltransferase KMT5A (EC 2.1.1.-) (H4-K20-HMTase KMT5A) (Histone-lysine N-methyltransferase KMT5A) (EC 2.1.1.361) (Lysine N-methyltransferase 5A) (Lysine-specific methylase 5A) (PR/SET domain-containing protein 07) (PR-Set7) (PR/SET07) (SET domain-containing protein 8),393,42890
Q9NQR4,Omega-amidase NIT2 (EC 3.5.1.3) (Nitrilase homolog 2),276,30608
Q9NQR9,Glucose-6-phosphatase 2 (G-6-Pase 2) (G6Pase 2) (EC 3.1.3.9) (Islet-specific glucose-6-phosphatase catalytic subunit-related protein),355,40580
Q9NQS3,Nectin-3 (CDw113) (Nectin cell adhesion molecule 3) (Poliovirus receptor-related protein 3) (CD antigen CD113),549,61002
Q9NQS5,G-protein coupled receptor 84 (Inflammation-related G-protein coupled receptor EX33),396,43705
Q9NQS7,Inner centromere protein,918,105429
Q9NQT4,Exosome complex component RRP46 (Chronic myelogenous leukemia tumor antigen 28) (Exosome component 5) (Ribosomal RNA-processing protein 46) (p12B),235,25249
Q9NQT5,Exosome complex component RRP40 (Exosome component 3) (Ribosomal RNA-processing protein 40) (p10),275,29572
Q9NQT8,Kinesin-like protein KIF13B (Kinesin-like protein GAKIN),1826,202789
Q9NQU5,Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6),681,74869
Q9NQV5,PR domain-containing protein 11 (EC 2.1.1.-),511,57863
Q9NQV6,PR domain zinc finger protein 10 (EC 2.1.1.-) (PR domain-containing protein 10) (Tristanin),1147,130136
Q9NQV7,Histone-lysine N-methyltransferase PRDM9 (PR domain zinc finger protein 9) (PR domain-containing protein 9) (Protein-lysine N-methyltransferase PRDM9) (EC 2.1.1.-) ([histone H3]-lysine36 N-trimethyltransferase PRDM9) (EC 2.1.1.359) ([histone H3]-lysine4 N-trimethyltransferase PRDM9) (EC 2.1.1.354) ([histone H3]-lysine9 N-trimethyltransferase PRDM9) (EC 2.1.1.355) ([histone H4]-N-methyl-L-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.362) ([histone H4]-lysine20 N-methyltransferase PRDM9) (EC 2.1.1.361),894,103376
Q9NQV8,PR domain zinc finger protein 8 (EC 2.1.1.-) (PR domain-containing protein 8),689,71663
Q9NQW1,Protein transport protein Sec31B (SEC31-like protein 2) (SEC31-related protein B) (SEC31B-1),1179,128697
Q9NQW5,Histone-lysine N-methyltransferase PRDM7 (EC 2.1.1.-) (PR domain zinc finger protein 7) (PR domain-containing protein 7) ([histone H3]-lysine4 N-methyltransferase PRDM7),492,55777
Q9NQW6,Anillin,1124,124199
Q9NQW7,"Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)",623,69918
Q9NQW8,Cyclic nucleotide-gated cation channel beta-3 (Cone photoreceptor cGMP-gated channel subunit beta) (Cyclic nucleotide-gated cation channel modulatory subunit) (Cyclic nucleotide-gated channel beta-3) (CNG channel beta-3),809,92167
Q9NQX0,Putative histone-lysine N-methyltransferase PRDM6 (EC 2.1.1.361) (PR domain zinc finger protein 6) (PR domain-containing protein 6),595,64452
Q9NQX1,PR domain zinc finger protein 5 (EC 2.1.1.-) (PR domain-containing protein 5),630,73090
Q9NQX3,Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)],736,79748
Q9NQX4,Unconventional myosin-Vc,1742,202810
Q9NQX5,Neural proliferation differentiation and control protein 1 (NPDC-1),325,34516
